month,rmse_log_model,rmse_log_pers,mae_log_model,mae_log_pers,rmse_mg_model,rmse_mg_pers,mae_mg_model,mae_mg_pers,skill_log_pct,skill_mg_pct
1,0.6026398,0.6525371,0.44143072,0.46189708,1.9900223,2.399856,0.9260779,1.02606,7.6466618,17.077435
2,0.648773,0.7216746,0.4801229,0.5204848,2.7602274,3.146747,1.1775781,1.3155047,10.101729,12.283153
3,0.82847035,0.9348432,0.6141313,0.6700605,5.240269,6.028149,2.3857195,2.7340462,11.378681,13.070017
4,0.9405601,1.0761381,0.71242535,0.7813391,6.8781996,8.275325,3.3728201,4.0470853,12.598574,16.883028
5,0.9387004,1.0764201,0.7014961,0.7648,7.0126295,8.621326,3.3438647,4.043748,12.794232,18.659508
6,0.89402586,1.0214977,0.6578542,0.7146594,6.570464,8.037058,3.0407228,3.6016805,12.478918,18.24789
7,0.831095,0.9213748,0.5989922,0.6260612,5.49198,6.746399,2.3501272,2.7467942,9.798384,18.5939
8,0.8223821,0.8989185,0.59979665,0.60477155,5.501928,6.4712243,2.3315108,2.5965083,8.514279,14.978563
9,0.7913406,0.88339037,0.59220546,0.6203683,5.2287936,6.439484,2.4825585,2.9908674,10.420054,18.801044
10,0.76669246,0.8386647,0.5708843,0.580144,4.8564854,5.9195285,2.1945937,2.5994833,8.58177,17.958242
11,0.722945,0.7918453,0.53954214,0.55815834,4.072725,5.072624,1.7579051,2.1308937,8.701241,19.71168
12,0.65250736,0.7004696,0.47824264,0.48540774,3.0780282,3.8214874,1.1777186,1.3640835,6.847155,19.454706
