month,rmse,bias
1,1.9895561043305747,-0.26291170716285706
2,2.7599349459292912,-0.33284127712249756
3,5.239843990245727,-1.0122908353805542
4,6.8771164844094885,-1.076715111732483
5,7.011418974267252,-0.7677609324455261
6,6.569785007344199,-0.7518246173858643
7,5.491285876828367,-0.37922197580337524
8,5.501588071954911,-0.7416055202484131
9,5.22828652724641,-0.7042661309242249
10,4.855884340872793,-0.5893505811691284
11,4.071858820733038,-0.3222194314002991
12,3.0770990046311084,-0.22837908565998077
