time,chl_obs,chl_model,chl_pers
2003-02-18,1.5418499,1.572759,1.7958353
2003-02-26,2.2197962,1.679124,1.5418499
2003-03-06,3.2893417,2.2456515,2.2197962
2003-03-14,2.8951066,2.9732416,3.2893417
2003-03-22,4.4074287,2.8747835,2.8951066
2003-03-30,6.424072,3.7441258,4.4074287
2003-04-07,6.168683,4.438758,6.424072
2003-04-15,4.7786927,4.448938,6.168683
2003-04-23,5.864217,4.034377,4.7786927
2003-05-01,3.8495212,4.7844534,5.864217
2003-05-09,4.501156,3.8635223,3.8495212
2003-05-17,6.309344,4.3518705,4.501156
2003-05-25,7.016858,4.8988996,6.309344
2003-06-02,6.376866,5.012427,7.016858
2003-06-10,6.833793,4.5147195,6.376866
2003-06-18,4.805322,5.0014086,6.833793
2003-06-26,6.43221,4.447258,4.805322
2003-07-04,4.615883,4.9705358,6.43221
2003-07-12,6.6974206,3.9673507,4.615883
2003-07-20,4.790223,4.9649496,6.6974206
2003-07-28,3.2444782,3.894317,4.790223
2003-08-05,5.002587,3.067593,3.2444782
2003-08-13,4.8277574,4.1348844,5.002587
2003-08-21,5.9309688,4.0166845,4.8277574
2003-08-29,5.2327576,4.5867047,5.9309688
2003-09-06,6.023791,4.3250055,5.2327576
2003-09-14,6.558862,4.8730183,6.023791
2003-09-22,6.3064327,5.0637774,6.558862
2003-09-30,3.8059113,4.8432426,6.3064327
2003-10-08,4.316792,3.485485,3.8059113
2003-10-16,4.6391187,3.7622113,4.316792
2003-10-24,3.5154665,3.6032805,4.6391187
2003-11-01,1.9893955,3.1740985,3.5154665
2003-11-09,2.132691,2.1852295,1.9893955
2003-11-17,2.171029,2.166705,2.132691
2003-11-25,1.6852218,2.3140287,2.171029
2003-12-03,1.895372,1.7352145,1.6852218
2003-12-11,2.0848663,1.6444793,1.895372
2003-12-19,1.372717,1.8982773,2.0848663
2003-12-27,1.4454992,1.3020478,1.372717
2004-01-01,1.7828571,1.5554819,1.4454992
2004-01-09,1.7735444,1.6734432,1.7828571
2004-01-17,1.5464535,1.5037175,1.7735444
2004-01-25,1.440012,1.5993202,1.5464535
2004-02-02,2.0759327,1.6602597,1.440012
2004-02-10,3.6540477,2.288735,2.0759327
2004-02-18,1.6024148,2.7443614,3.6540477
2004-02-26,2.3409004,1.6285764,1.6024148
2004-03-05,3.5029085,2.4711049,2.3409004
2004-03-13,5.404315,3.3881555,3.5029085
2004-03-21,6.0198326,3.9989266,5.404315
2004-03-29,5.8358974,4.399685,6.0198326
2004-04-06,7.331246,4.6092362,5.8358974
2004-04-14,7.80151,5.480379,7.331246
2004-04-22,8.066002,5.5484676,7.80151
2004-04-30,6.1988025,6.089376,8.066002
2004-05-08,5.763052,5.23989,6.1988025
2004-05-16,7.1225533,5.081784,5.763052
2004-05-24,6.1605387,5.878687,7.1225533
2004-06-01,5.845212,5.4690504,6.1605387
2004-06-09,5.227876,5.191026,5.845212
2004-06-17,4.054907,4.875641,5.227876
2004-06-25,4.72139,3.8189948,4.054907
2004-07-03,5.186708,4.1700406,4.72139
2004-07-11,3.0965106,4.0262384,5.186708
2004-07-19,4.0135303,3.199015,3.0965106
2004-07-27,3.5526595,3.5430427,4.0135303
2004-08-04,2.7014465,3.0991867,3.5526595
2004-08-12,2.6285686,2.8047137,2.7014465
2004-08-20,3.632671,2.6103735,2.6285686
2004-08-28,3.8029656,3.0793622,3.632671
2004-09-05,3.9915595,3.1772301,3.8029656
2004-09-13,4.1949797,3.3486633,3.9915595
2004-09-21,4.7305493,3.6880026,4.1949797
2004-09-29,2.8401842,4.062049,4.7305493
2004-10-07,2.4603772,3.03634,2.8401842
2004-10-15,2.6763895,2.7863495,2.4603772
2004-10-23,3.123433,2.4540765,2.6763895
2004-10-31,3.2573168,2.6364663,3.123433
2004-11-08,4.4623413,2.7150269,3.2573168
2004-11-16,4.599076,3.085214,4.4623413
2004-11-24,3.6624763,3.3163638,4.599076
2004-12-02,3.8266716,3.0801175,3.6624763
2004-12-10,3.8152342,2.8948328,3.8266716
2004-12-18,1.9460833,2.634565,3.8152342
2004-12-26,1.5671029,1.853385,1.9460833
2005-01-01,1.469062,1.405893,1.5671029
2005-01-09,2.6256251,1.3124626,1.469062
2005-01-17,2.7393935,2.1871653,2.6256251
2005-01-25,1.7643393,2.2283838,2.7393935
2005-02-02,1.820084,1.6756169,1.7643393
2005-02-10,1.9130065,2.0110462,1.820084
2005-02-18,1.9457209,1.815288,1.9130065
2005-02-26,2.0436823,1.6531649,1.9457209
2005-03-06,1.8374381,1.85837,2.0436823
2005-03-14,2.1068695,2.239121,1.8374381
2005-03-22,2.0040324,2.4804108,2.1068695
2005-03-30,7.0349064,2.382979,2.0040324
2005-04-07,8.15415,4.996473,7.0349064
2005-04-15,4.844951,5.7060637,8.15415
2005-04-23,7.5338135,4.1215916,4.844951
2005-05-01,4.8008237,5.122668,7.5338135
2005-05-09,5.4092703,3.934522,4.8008237
2005-05-17,5.187905,4.755005,5.4092703
2005-05-25,5.1141057,4.734325,5.187905
2005-06-02,3.4971423,4.4623713,5.1141057
2005-06-10,5.7344007,3.6661139,3.4971423
2005-06-18,8.261067,4.6890635,5.7344007
2005-06-26,7.4870973,5.8025856,8.261067
2005-07-04,4.8166466,5.3669415,7.4870973
2005-07-12,6.061317,4.0664406,4.8166466
2005-07-20,4.7028584,4.5238867,6.061317
2005-07-28,5.4450355,4.0769854,4.7028584
2005-08-05,4.4219875,4.353567,5.4450355
2005-08-13,4.299046,3.7364862,4.4219875
2005-08-21,3.6375349,3.693851,4.299046
2005-08-29,6.1541796,3.3387363,3.6375349
2005-09-06,6.1335397,4.619213,6.1541796
2005-09-14,5.7197585,4.7006087,6.1335397
2005-09-22,6.994846,4.505788,5.7197585
2005-09-30,5.701287,5.1493955,6.994846
2005-10-08,6.053188,4.621976,5.701287
2005-10-16,6.4747357,4.86276,6.053188
2005-10-24,5.060205,4.8845744,6.4747357
2005-11-01,4.7670093,4.0921664,5.060205
2005-11-09,4.937526,3.902907,4.7670093
2005-11-17,7.3618255,3.846777,4.937526
2005-11-25,3.483138,4.6536717,7.3618255
2005-12-03,4.0368023,3.0132637,3.483138
2005-12-11,3.9555142,3.2391667,4.0368023
2005-12-19,2.9401038,2.8251376,3.9555142
2005-12-27,2.2624357,2.2350667,2.9401038
2006-01-01,3.0517828,2.0259342,2.2624357
2006-01-09,4.1032295,2.5362558,3.0517828
2006-01-17,4.178512,3.2009025,4.1032295
2006-01-25,4.2666416,3.3485184,4.178512
2006-02-02,5.2408786,3.2561276,4.2666416
2006-02-10,3.1015682,3.864788,5.2408786
2006-02-18,5.520895,2.7395947,3.1015682
2006-02-26,3.3623836,4.1349616,5.520895
2006-03-06,3.2071593,2.7025583,3.3623836
2006-03-14,4.9858475,3.2352939,3.2071593
2006-03-22,5.611485,4.0653167,4.9858475
2006-03-30,2.625562,4.1039195,5.611485
2006-04-07,3.2944546,2.5501747,2.625562
2006-04-15,3.864415,3.2351177,3.2944546
2006-04-23,4.434246,3.9848378,3.864415
2006-05-01,5.2300644,4.1355867,4.434246
2006-05-09,7.6730814,4.3643117,5.2300644
2006-05-17,5.6079836,5.38811,7.6730814
2006-05-25,4.573242,4.432632,5.6079836
2006-06-02,5.458993,4.245588,4.573242
2006-06-10,7.1060266,4.4871836,5.458993
2006-06-18,5.924577,5.404681,7.1060266
2006-06-26,4.072216,4.7780557,5.924577
2006-07-04,2.884454,3.9096544,4.072216
2006-07-12,4.196136,3.0464973,2.884454
2006-07-20,7.0190706,3.6669595,4.196136
2006-07-28,4.9808497,4.707485,7.0190706
2006-08-05,5.287677,3.6129062,4.9808497
2006-08-13,5.4406567,4.054875,5.287677
2006-08-21,4.205951,4.1594057,5.4406567
2006-08-29,6.424214,3.580712,4.205951
2006-09-06,4.6187053,4.588981,6.424214
2006-09-14,4.3691335,3.6670046,4.6187053
2006-09-22,3.233263,3.7121143,4.3691335
2006-09-30,3.860848,2.8412533,3.233263
2006-10-08,3.9902194,3.1754735,3.860848
2006-10-16,5.9560943,3.1394463,3.9902194
2006-10-24,6.034643,4.2322392,5.9560943
2006-11-01,4.4602084,4.156235,6.034643
2006-11-09,2.312034,3.1488264,4.4602084
2006-11-17,4.5672226,2.4054768,2.312034
2006-11-25,2.7217007,3.3127475,4.5672226
2006-12-03,4.387087,2.542157,2.7217007
2006-12-11,1.7507765,2.8952205,4.387087
2006-12-19,1.9733737,1.7143793,1.7507765
2006-12-27,1.670093,1.7617915,1.9733737
2007-01-01,2.0246246,1.6929724,1.670093
2007-01-09,1.7606401,2.0165536,2.0246246
2007-01-17,1.4687868,1.8298663,1.7606401
2007-01-25,1.080347,1.5656962,1.4687868
2007-02-02,1.3631314,1.1127691,1.080347
2007-02-10,1.4799742,1.2982987,1.3631314
2007-02-18,1.4697242,1.5856868,1.4799742
2007-02-26,2.4103403,1.7174853,1.4697242
2007-03-06,5.223158,2.3650932,2.4103403
2007-03-14,3.9448934,3.7552958,5.223158
2007-03-22,4.1038876,3.1759872,3.9448934
2007-03-30,5.9592366,3.618872,4.1038876
2007-04-07,3.8017478,4.4602504,5.9592366
2007-04-15,3.718059,3.6339078,3.8017478
2007-04-23,4.9469748,3.6809454,3.718059
2007-05-01,4.9646773,4.2304068,4.9469748
2007-05-09,6.482121,4.1176085,4.9646773
2007-05-17,7.274168,4.874555,6.482121
2007-05-25,6.465445,5.1763144,7.274168
2007-06-02,4.9818144,4.687976,6.465445
2007-06-10,4.324696,4.4130535,4.9818144
2007-06-18,4.850744,4.1072025,4.324696
2007-06-26,4.2523813,4.103395,4.850744
2007-07-04,4.10459,3.8992639,4.2523813
2007-07-12,3.0415523,3.4413471,4.10459
2007-07-20,3.4677088,3.004742,3.0415523
2007-07-28,3.618996,3.228435,3.4677088
2007-08-05,3.889941,3.136333,3.618996
2007-08-13,3.8914034,3.2869656,3.889941
2007-08-21,5.131294,3.4749758,3.8914034
2007-08-29,4.4808197,3.894517,5.131294
2007-09-06,3.9295437,3.7743123,4.4808197
2007-09-14,4.003918,3.611203,3.9295437
2007-09-22,4.6449065,3.5113735,4.003918
2007-09-30,3.429138,3.6776466,4.6449065
2007-10-08,3.0705345,3.2129982,3.429138
2007-10-16,3.4225526,2.8270898,3.0705345
2007-10-24,3.4406688,3.1284795,3.4225526
2007-11-01,2.5762954,2.9550884,3.4406688
2007-11-09,3.121727,2.3277476,2.5762954
2007-11-17,3.0445678,2.5671215,3.121727
2007-11-25,2.8169222,2.6429496,3.0445678
2007-12-03,2.1134799,2.529238,2.8169222
2007-12-11,2.508352,2.0055752,2.1134799
2007-12-19,2.069216,2.0676827,2.508352
2007-12-27,1.538346,1.9919753,2.069216
2008-01-01,2.058566,1.75008,1.538346
2008-01-09,2.4164186,1.8195447,2.058566
2008-01-17,2.358352,2.203595,2.4164186
2008-01-25,1.6566837,2.1288037,2.358352
2008-02-02,2.2240033,1.6269629,1.6566837
2008-02-10,2.7926466,2.3135521,2.2240033
2008-02-18,2.056615,2.5240197,2.7926466
2008-02-26,2.3665357,1.9495871,2.056615
2008-03-05,2.877883,2.4301715,2.3665357
2008-03-13,3.5034585,3.04792,2.877883
2008-03-21,5.7630916,3.3819182,3.5034585
2008-03-29,3.648256,4.33929,5.7630916
2008-04-06,6.4986815,3.1134129,3.648256
2008-04-14,7.6374803,4.8181286,6.4986815
2008-04-22,5.628782,5.3412886,7.6374803
2008-04-30,4.8037696,4.6021395,5.628782
2008-05-08,4.184837,4.208818,4.8037696
2008-05-16,6.413964,3.7882836,4.184837
2008-05-24,4.8876934,4.955494,6.413964
2008-06-01,5.1751804,4.0510697,4.8876934
2008-06-09,4.456343,4.5048733,5.1751804
2008-06-17,6.579857,3.8244164,4.456343
2008-06-25,4.299087,4.7637925,6.579857
2008-07-03,2.679981,3.6625535,4.299087
2008-07-11,2.5594208,2.8066473,2.679981
2008-07-19,2.6684902,2.6314933,2.5594208
2008-07-27,4.2217293,2.6699765,2.6684902
