month,rmse_log_model,rmse_log_pers,mae_log_model,mae_log_pers,rmse_mg_model,rmse_mg_pers,mae_mg_model,mae_mg_pers,skill_log_pct,skill_mg_pct
1,0.6002226,0.6525371,0.44017836,0.46189708,1.9546704,2.399856,0.9121656,1.02606,8.017093,18.550514
2,0.6455949,0.7216746,0.4790255,0.5204848,2.7312171,3.146747,1.1694192,1.3155047,10.542107,13.205063
3,0.8280443,0.9348432,0.616364,0.6700605,5.213004,6.028149,2.3802767,2.7340462,11.424255,13.522309
4,0.9402569,1.0761381,0.716478,0.7813391,6.867443,8.275325,3.3896344,4.0470853,12.626749,17.013008
5,0.93904096,1.0764201,0.7056443,0.7648,7.0149293,8.621326,3.3667753,4.043748,12.762594,18.63283
6,0.89575285,1.0214977,0.66466033,0.7146594,6.5794177,8.037058,3.0668728,3.6016805,12.309855,18.13649
7,0.84678435,0.9213748,0.6189197,0.6260612,5.5254116,6.746399,2.3753438,2.7467942,8.095556,18.098354
8,0.8375054,0.8989185,0.6228533,0.60477155,5.5030723,6.4712243,2.3404956,2.5965083,6.83189,14.960879
9,0.8089366,0.88339037,0.6159705,0.6203683,5.2712846,6.439484,2.5172157,2.9908674,8.428186,18.141197
10,0.7813212,0.8386647,0.59261256,0.580144,4.8638673,5.9195285,2.223317,2.5994833,6.8374753,17.833536
11,0.7407725,0.7918453,0.5610084,0.55815834,4.088925,5.072624,1.7940823,2.1308937,6.449848,19.392317
12,0.65885526,0.7004696,0.48716328,0.48540774,3.0807192,3.8214874,1.1807324,1.3640835,5.94092,19.384289
