time,chl_obs,chl_model,chl_pers
2003-02-18,1.5418499,1.8631545,1.7958353
2003-02-26,2.2197962,1.5868201,1.5418499
2003-03-06,3.2893417,2.3053079,2.2197962
2003-03-14,2.8951066,3.4631858,3.2893417
2003-03-22,4.4074287,3.024486,2.8951066
2003-03-30,6.424072,4.658748,4.4074287
2003-04-07,6.168683,6.945777,6.424072
2003-04-15,4.7786927,6.7503247,6.168683
2003-04-23,5.864217,5.2277517,4.7786927
2003-05-01,3.8495212,6.3863,5.864217
2003-05-09,4.501156,4.1794887,3.8495212
2003-05-17,6.309344,4.9947343,4.501156
2003-05-25,7.016858,6.9402833,6.309344
2003-06-02,6.376866,7.686912,7.016858
2003-06-10,6.833793,6.962247,6.376866
2003-06-18,4.805322,7.518951,6.833793
2003-06-26,6.43221,5.2810717,4.805322
2003-07-04,4.615883,7.0958004,6.43221
2003-07-12,6.6974206,5.0977936,4.615883
2003-07-20,4.790223,7.35218,6.6974206
2003-07-28,3.2444782,5.229324,4.790223
2003-08-05,5.002587,3.4858189,3.2444782
2003-08-13,4.8277574,5.3399854,5.002587
2003-08-21,5.9309688,5.152676,4.8277574
2003-08-29,5.2327576,6.2585,5.9309688
2003-09-06,6.023791,5.4027467,5.2327576
2003-09-14,6.558862,6.223624,6.023791
2003-09-22,6.3064327,6.8814054,6.558862
2003-09-30,3.8059113,6.639193,6.3064327
2003-10-08,4.316792,3.9879704,3.8059113
2003-10-16,4.6391187,4.572847,4.316792
2003-10-24,3.5154665,4.9400206,4.6391187
2003-11-01,1.9893955,3.7539709,3.5154665
2003-11-09,2.132691,2.0972524,1.9893955
2003-11-17,2.171029,2.2589138,2.132691
2003-11-25,1.6852218,2.2763448,2.171029
2003-12-03,1.895372,1.754903,1.6852218
2003-12-11,2.0848663,1.971683,1.895372
2003-12-19,1.372717,2.1477077,2.0848663
2003-12-27,1.4454992,1.4158561,1.372717
2004-01-01,1.7828571,1.4841952,1.4454992
2004-01-09,1.7735444,1.8220793,1.7828571
2004-01-17,1.5464535,1.8119768,1.7735444
2004-01-25,1.440012,1.5960068,1.5464535
2004-02-02,2.0759327,1.497213,1.440012
2004-02-10,3.6540477,2.1666784,2.0759327
2004-02-18,1.6024148,3.8082135,3.6540477
2004-02-26,2.3409004,1.6891937,1.6024148
2004-03-05,3.5029085,2.4927998,2.3409004
2004-03-13,5.404315,3.7779324,3.5029085
2004-03-21,6.0198326,5.860927,5.404315
2004-03-29,5.8358974,6.5389347,6.0198326
2004-04-06,7.331246,6.283997,5.8358974
2004-04-14,7.80151,8.007175,7.331246
2004-04-22,8.066002,8.639092,7.80151
2004-04-30,6.1988025,8.881909,8.066002
2004-05-08,5.763052,6.990743,6.1988025
2004-05-16,7.1225533,6.5195274,5.763052
2004-05-24,6.1605387,8.088778,7.1225533
2004-06-01,5.845212,6.969641,6.1605387
2004-06-09,5.227876,6.578412,5.845212
2004-06-17,4.054907,5.915136,5.227876
2004-06-25,4.72139,4.575171,4.054907
2004-07-03,5.186708,5.3449907,4.72139
2004-07-11,3.0965106,5.8253775,5.186708
2004-07-19,4.0135303,3.3839734,3.0965106
2004-07-27,3.5526595,4.3020988,4.0135303
2004-08-04,2.7014465,3.8605459,3.5526595
2004-08-12,2.6285686,2.897442,2.7014465
2004-08-20,3.632671,2.7868686,2.6285686
2004-08-28,3.8029656,3.8743963,3.632671
2004-09-05,3.9915595,4.0329175,3.8029656
2004-09-13,4.1949797,4.2564197,3.9915595
2004-09-21,4.7305493,4.4200563,4.1949797
2004-09-29,2.8401842,5.0226035,4.7305493
2004-10-07,2.4603772,3.0261528,2.8401842
2004-10-15,2.6763895,2.647837,2.4603772
2004-10-23,3.123433,2.886131,2.6763895
2004-10-31,3.2573168,3.3631172,3.123433
2004-11-08,4.4623413,3.4698071,3.2573168
2004-11-16,4.599076,4.7291617,4.4623413
2004-11-24,3.6624763,4.865831,4.599076
2004-12-02,3.8266716,3.873492,3.6624763
2004-12-10,3.8152342,4.0865555,3.8266716
2004-12-18,1.9460833,4.064918,3.8152342
2004-12-26,1.5671029,2.0600975,1.9460833
2005-01-01,1.469062,1.6566231,1.5671029
2005-01-09,2.6256251,1.5254363,1.469062
2005-01-17,2.7393935,2.6105845,2.6256251
2005-01-25,1.7643393,2.7378795,2.7393935
2005-02-02,1.820084,1.791808,1.7643393
2005-02-10,1.9130065,1.856823,1.820084
2005-02-18,1.9457209,1.9693738,1.9130065
2005-02-26,2.0436823,1.9871628,1.9457209
2005-03-06,1.8374381,2.0807824,2.0436823
2005-03-14,2.1068695,1.8790646,1.8374381
2005-03-22,2.0040324,2.1629252,2.1068695
2005-03-30,7.0349064,2.0497997,2.0040324
2005-04-07,8.15415,7.1157737,7.0349064
2005-04-15,4.844951,8.427688,8.15415
2005-04-23,7.5338135,5.1561074,4.844951
2005-05-01,4.8008237,8.113429,7.5338135
2005-05-09,5.4092703,5.2465196,4.8008237
2005-05-17,5.187905,5.9664545,5.4092703
2005-05-25,5.1141057,5.7139087,5.187905
2005-06-02,3.4971423,5.634623,5.1141057
2005-06-10,5.7344007,3.8709283,3.4971423
2005-06-18,8.261067,6.353742,5.7344007
2005-06-26,7.4870973,9.160676,8.261067
2005-07-04,4.8166466,8.300385,7.4870973
2005-07-12,6.061317,5.3473897,4.8166466
2005-07-20,4.7028584,6.7468176,6.061317
2005-07-28,5.4450355,5.179716,4.7028584
2005-08-05,4.4219875,5.9532933,5.4450355
2005-08-13,4.299046,4.792805,4.4219875
2005-08-21,3.6375349,4.6075153,4.299046
2005-08-29,6.1541796,3.8727186,3.6375349
2005-09-06,6.1335397,6.552722,6.1541796
2005-09-14,5.7197585,6.489026,6.1335397
2005-09-22,6.994846,6.059351,5.7197585
2005-09-30,5.701287,7.4252033,6.994846
2005-10-08,6.053188,6.1227083,5.701287
2005-10-16,6.4747357,6.5507464,6.053188
2005-10-24,5.060205,7.010628,6.4747357
2005-11-01,4.7670093,5.4891324,5.060205
2005-11-09,4.937526,5.154144,4.7670093
2005-11-17,7.3618255,5.3604255,4.937526
2005-11-25,3.483138,7.988297,7.3618255
2005-12-03,4.0368023,3.788059,3.483138
2005-12-11,3.9555142,4.3468943,4.0368023
2005-12-19,2.9401038,4.2637897,3.9555142
2005-12-27,2.2624357,3.1360724,2.9401038
2006-01-01,3.0517828,2.3502457,2.2624357
2006-01-09,4.1032295,3.192253,3.0517828
2006-01-17,4.178512,4.3009453,4.1032295
2006-01-25,4.2666416,4.4112015,4.178512
2006-02-02,5.2408786,4.5892925,4.2666416
2006-02-10,3.1015682,5.6895576,5.2408786
2006-02-18,5.520895,3.4070468,3.1015682
2006-02-26,3.3623836,6.0390434,5.520895
2006-03-06,3.2071593,3.6016486,3.3623836
2006-03-14,4.9858475,3.4055128,3.2071593
2006-03-22,5.611485,5.2848525,4.9858475
2006-03-30,2.625562,6.0546474,5.611485
2006-04-07,3.2944546,2.8749442,2.625562
2006-04-15,3.864415,3.5796695,3.2944546
2006-04-23,4.434246,4.179026,3.864415
2006-05-01,5.2300644,4.7871943,4.434246
2006-05-09,7.6730814,5.601261,5.2300644
2006-05-17,5.6079836,8.194561,7.6730814
2006-05-25,4.573242,6.0330744,5.6079836
2006-06-02,5.458993,4.9313416,4.573242
2006-06-10,7.1060266,5.9793816,5.458993
2006-06-18,5.924577,7.77427,7.1060266
2006-06-26,4.072216,6.5241895,5.924577
2006-07-04,2.884454,4.4090347,4.072216
2006-07-12,4.196136,3.133729,2.884454
2006-07-20,7.0190706,4.600623,4.196136
2006-07-28,4.9808497,7.6444244,7.0190706
2006-08-05,5.287677,5.4012136,4.9808497
2006-08-13,5.4406567,5.6530285,5.287677
2006-08-21,4.205951,5.7995715,5.4406567
2006-08-29,6.424214,4.487164,4.205951
2006-09-06,4.6187053,6.8699255,6.424214
2006-09-14,4.3691335,4.96585,4.6187053
2006-09-22,3.233263,4.6744766,4.3691335
2006-09-30,3.860848,3.475525,3.233263
2006-10-08,3.9902194,4.0813775,3.860848
2006-10-16,5.9560943,4.201759,3.9902194
2006-10-24,6.034643,6.3060646,5.9560943
2006-11-01,4.4602084,6.398565,6.034643
2006-11-09,2.312034,4.7094703,4.4602084
2006-11-17,4.5672226,2.444421,2.312034
2006-11-25,2.7217007,4.935208,4.5672226
2006-12-03,4.387087,2.929285,2.7217007
2006-12-11,1.7507765,4.764022,4.387087
2006-12-19,1.9733737,1.834172,1.7507765
2006-12-27,1.670093,2.0703228,1.9733737
2007-01-01,2.0246246,1.7468468,1.670093
2007-01-09,1.7606401,2.077734,2.0246246
2007-01-17,1.4687868,1.8009064,1.7606401
2007-01-25,1.080347,1.5258182,1.4687868
2007-02-02,1.3631314,1.1283568,1.080347
2007-02-10,1.4799742,1.4314971,1.3631314
2007-02-18,1.4697242,1.5406082,1.4799742
2007-02-26,2.4103403,1.5270821,1.4697242
2007-03-06,5.223158,2.5080724,2.4103403
2007-03-14,3.9448934,5.443114,5.223158
2007-03-22,4.1038876,4.24719,3.9448934
2007-03-30,5.9592366,4.464789,4.1038876
2007-04-07,3.8017478,6.5002728,5.9592366
