month,rmse_log_model,rmse_log_pers,mae_log_model,mae_log_pers,rmse_mg_model,rmse_mg_pers,mae_mg_model,mae_mg_pers,skill_log_pct,skill_mg_pct
1,0.663228,0.6525371,0.47514293,0.46189708,2.5586138,2.399856,1.0962716,1.02606,-1.6383529,-6.615305
2,0.7335253,0.7216746,0.5361785,0.5204848,3.3041983,3.146747,1.3928901,1.3155047,-1.642108,-5.003619
3,0.94916683,0.9348432,0.6880848,0.6700605,6.194799,6.028149,2.8349042,2.7340462,-1.532197,-2.764523
4,1.0918092,1.0761381,0.8012255,0.7813391,8.832382,8.275325,4.336378,4.0470853,-1.4562249,-6.731546
5,1.0971297,1.0764201,0.79100734,0.7648,9.389631,8.621326,4.4608026,4.043748,-1.9239306,-8.911681
6,1.0424389,1.0214977,0.7453714,0.7146594,8.817846,8.037058,4.017669,3.6016805,-2.0500422,-9.714853
7,0.947528,0.9213748,0.658732,0.6260612,7.4768267,6.746399,3.1450577,2.7467942,-2.8384924,-10.826933
8,0.9118005,0.8989185,0.62825954,0.60477155,6.9784737,6.4712243,2.863755,2.5965083,-1.4330506,-7.8385353
9,0.9017898,0.88339037,0.64206004,0.6203683,7.1887813,6.439484,3.33718,2.9908674,-2.0828128,-11.6359825
10,0.8546714,0.8386647,0.6013133,0.580144,6.6796017,5.9195285,2.910124,2.5994833,-1.9086003,-12.840092
11,0.8118157,0.7918453,0.58127683,0.55815834,5.7654157,5.072624,2.4053245,2.1308937,-2.5220037,-13.657463
12,0.7191338,0.7004696,0.5060149,0.48540774,4.274433,3.8214874,1.5179479,1.3640835,-2.6645184,-11.852598
