time,chl_obs,chl_model,chl_pers
2003-02-18,1.5418499,1.8045174,1.7958353
2003-02-26,2.2197962,1.578575,1.5418499
2003-03-06,3.2893417,2.283537,2.2197962
2003-03-14,2.8951066,3.3852458,3.2893417
2003-03-22,4.4074287,2.9838212,2.8951066
2003-03-30,6.424072,4.585711,4.4074287
2003-04-07,6.168683,6.992079,6.424072
2003-04-15,4.7786927,6.8391685,6.168683
2003-04-23,5.864217,5.3845177,4.7786927
2003-05-01,3.8495212,6.509162,5.864217
2003-05-09,4.501156,4.248739,3.8495212
2003-05-17,6.309344,5.161218,4.501156
2003-05-25,7.016858,7.3026114,6.309344
2003-06-02,6.376866,7.44429,7.016858
2003-06-10,6.833793,6.793022,6.376866
2003-06-18,4.805322,7.523579,6.833793
2003-06-26,6.43221,5.356999,4.805322
2003-07-04,4.615883,7.1600504,6.43221
2003-07-12,6.6974206,5.378562,4.615883
2003-07-20,4.790223,7.7322836,6.6974206
2003-07-28,3.2444782,5.469602,4.790223
2003-08-05,5.002587,3.603629,3.2444782
2003-08-13,4.8277574,5.6908274,5.002587
2003-08-21,5.9309688,5.4183893,4.8277574
2003-08-29,5.2327576,6.881555,5.9309688
2003-09-06,6.023791,5.894814,5.2327576
2003-09-14,6.558862,6.935887,6.023791
2003-09-22,6.3064327,7.606417,6.558862
2003-09-30,3.8059113,7.101022,6.3064327
2003-10-08,4.316792,4.410813,3.8059113
2003-10-16,4.6391187,5.008828,4.316792
2003-10-24,3.5154665,5.3965626,4.6391187
2003-11-01,1.9893955,3.8968868,3.5154665
2003-11-09,2.132691,2.1856396,1.9893955
2003-11-17,2.171029,2.3284314,2.132691
2003-11-25,1.6852218,2.3259451,2.171029
2003-12-03,1.895372,1.7646384,1.6852218
2003-12-11,2.0848663,1.9238814,1.895372
2003-12-19,1.372717,2.1122367,2.0848663
2003-12-27,1.4454992,1.4212618,1.372717
2004-01-01,1.7828571,1.4781553,1.4454992
2004-01-09,1.7735444,1.8046522,1.7828571
2004-01-17,1.5464535,1.7977555,1.7735444
2004-01-25,1.440012,1.5850414,1.5464535
2004-02-02,2.0759327,1.4784393,1.440012
2004-02-10,3.6540477,2.1137862,2.0759327
2004-02-18,1.6024148,3.6788971,3.6540477
2004-02-26,2.3409004,1.6629635,1.6024148
2004-03-05,3.5029085,2.457373,2.3409004
2004-03-13,5.404315,3.6110654,3.5029085
2004-03-21,6.0198326,5.457518,5.404315
2004-03-29,5.8358974,6.292133,6.0198326
2004-04-06,7.331246,6.1733446,5.8358974
2004-04-14,7.80151,8.123863,7.331246
2004-04-22,8.066002,9.237276,7.80151
2004-04-30,6.1988025,9.423804,8.066002
2004-05-08,5.763052,7.446204,6.1988025
2004-05-16,7.1225533,6.6606445,5.763052
2004-05-24,6.1605387,8.417115,7.1225533
2004-06-01,5.845212,7.281509,6.1605387
2004-06-09,5.227876,6.820526,5.845212
2004-06-17,4.054907,6.4970865,5.227876
2004-06-25,4.72139,5.0382786,4.054907
2004-07-03,5.186708,5.900682,4.72139
2004-07-11,3.0965106,6.076031,5.186708
2004-07-19,4.0135303,3.5828931,3.0965106
2004-07-27,3.5526595,4.602014,4.0135303
2004-08-04,2.7014465,4.0163264,3.5526595
2004-08-12,2.6285686,3.1099224,2.7014465
2004-08-20,3.632671,3.00937,2.6285686
2004-08-28,3.8029656,4.3212566,3.632671
2004-09-05,3.9915595,4.485369,3.8029656
2004-09-13,4.1949797,4.49574,3.9915595
2004-09-21,4.7305493,4.7185364,4.1949797
2004-09-29,2.8401842,5.354751,4.7305493
2004-10-07,2.4603772,3.2509532,2.8401842
2004-10-15,2.6763895,2.793038,2.4603772
2004-10-23,3.123433,2.9686747,2.6763895
2004-10-31,3.2573168,3.5129895,3.123433
2004-11-08,4.4623413,3.5664642,3.2573168
2004-11-16,4.599076,4.7964535,4.4623413
2004-11-24,3.6624763,5.0917964,4.599076
2004-12-02,3.8266716,4.172392,3.6624763
2004-12-10,3.8152342,4.398151,3.8266716
2004-12-18,1.9460833,4.1926556,3.8152342
2004-12-26,1.5671029,2.1502886,1.9460833
2005-01-01,1.469062,1.6984757,1.5671029
