month,rmse_log_model,rmse_log_pers,mae_log_model,mae_log_pers,rmse_mg_model,rmse_mg_pers,mae_mg_model,mae_mg_pers,skill_log_pct,skill_mg_pct
1,0.61574274,0.6525371,0.4515385,0.46189708,1.9847559,2.399856,0.9412529,1.02606,5.638665,17.29688
2,0.66909325,0.7216746,0.49792945,0.5204848,2.7472653,3.146747,1.2067158,1.3155047,7.286024,12.695068
3,0.8392107,0.9348432,0.6259647,0.6700605,5.1729836,6.028149,2.402102,2.7340462,10.22979,14.186203
4,0.9461235,1.0761381,0.7211195,0.7813391,6.787996,8.275325,3.3940442,4.0470853,12.0815935,17.973059
5,0.94536406,1.0764201,0.7105464,0.7648,6.9258537,8.621326,3.381583,4.043748,12.175173,19.666027
6,0.9071178,1.0214977,0.67548937,0.7146594,6.5404396,8.037058,3.1123846,3.6016805,11.197281,18.621468
7,0.86958367,0.9213748,0.64093137,0.6260612,5.5596886,6.746399,2.456648,2.7467942,5.62107,17.590279
8,0.8434809,0.8989185,0.6315726,0.60477155,5.4508677,6.4712243,2.37161,2.5965083,6.1671495,15.767598
9,0.8210097,0.88339037,0.624722,0.6203683,5.2945585,6.439484,2.5872953,2.9908674,7.0615053,17.779774
10,0.79482883,0.8386647,0.6038055,0.580144,4.860153,5.9195285,2.2887206,2.5994833,5.2268686,17.896276
11,0.768293,0.7918453,0.5832198,0.55815834,4.175128,5.072624,1.8953936,2.1308937,2.9743552,17.692936
12,0.6843214,0.7004696,0.5082275,0.48540774,3.1231709,3.8214874,1.2504232,1.3640835,2.3053408,18.273426
