time,chl_obs,chl_model,chl_pers
2003-02-18,1.5418499,1.7753636,1.7958353
2003-02-26,2.2197962,1.6924584,1.5418499
2003-03-06,3.2893417,2.312995,2.2197962
2003-03-14,2.8951066,3.2682867,3.2893417
2003-03-22,4.4074287,3.1661837,2.8951066
2003-03-30,6.424072,4.0460057,4.4074287
2003-04-07,6.168683,4.794351,6.424072
2003-04-15,4.7786927,5.0957236,6.168683
2003-04-23,5.864217,4.157574,4.7786927
2003-05-01,3.8495212,4.9806395,5.864217
2003-05-09,4.501156,3.9389455,3.8495212
2003-05-17,6.309344,4.640381,4.501156
2003-05-25,7.016858,5.2183886,6.309344
2003-06-02,6.376866,5.402829,7.016858
2003-06-10,6.833793,4.9141874,6.376866
2003-06-18,4.805322,5.5824966,6.833793
2003-06-26,6.43221,5.056049,4.805322
2003-07-04,4.615883,5.6262097,6.43221
2003-07-12,6.6974206,4.6793714,4.615883
2003-07-20,4.790223,5.650176,6.6974206
2003-07-28,3.2444782,4.4872775,4.790223
2003-08-05,5.002587,3.2263818,3.2444782
2003-08-13,4.8277574,4.3049045,5.002587
2003-08-21,5.9309688,4.3548713,4.8277574
2003-08-29,5.2327576,4.7046,5.9309688
2003-09-06,6.023791,4.693196,5.2327576
2003-09-14,6.558862,5.2813883,6.023791
2003-09-22,6.3064327,5.7960396,6.558862
2003-09-30,3.8059113,5.3816724,6.3064327
2003-10-08,4.316792,3.9825604,3.8059113
2003-10-16,4.6391187,4.1114817,4.316792
2003-10-24,3.5154665,4.063627,4.6391187
2003-11-01,1.9893955,3.5508175,3.5154665
2003-11-09,2.132691,2.3703039,1.9893955
2003-11-17,2.171029,2.3955936,2.132691
2003-11-25,1.6852218,2.4211545,2.171029
2003-12-03,1.895372,1.9414324,1.6852218
2003-12-11,2.0848663,1.873356,1.895372
2003-12-19,1.372717,2.0774,2.0848663
2003-12-27,1.4454992,1.513113,1.372717
2004-01-01,1.7828571,1.6112026,1.4454992
2004-01-09,1.7735444,1.8039327,1.7828571
2004-01-17,1.5464535,1.7023726,1.7735444
2004-01-25,1.440012,1.685061,1.5464535
2004-02-02,2.0759327,1.6372956,1.440012
2004-02-10,3.6540477,2.3515847,2.0759327
2004-02-18,1.6024148,3.1290412,3.6540477
2004-02-26,2.3409004,1.8486564,1.6024148
2004-03-05,3.5029085,2.5691957,2.3409004
2004-03-13,5.404315,3.5559523,3.5029085
2004-03-21,6.0198326,4.2092175,5.404315
2004-03-29,5.8358974,4.4116416,6.0198326
2004-04-06,7.331246,4.7738085,5.8358974
2004-04-14,7.80151,6.0015893,7.331246
2004-04-22,8.066002,6.128618,7.80151
2004-04-30,6.1988025,6.711164,8.066002
2004-05-08,5.763052,5.703504,6.1988025
2004-05-16,7.1225533,5.5727634,5.763052
2004-05-24,6.1605387,6.529367,7.1225533
2004-06-01,5.845212,5.94451,6.1605387
2004-06-09,5.227876,5.754661,5.845212
2004-06-17,4.054907,5.492729,5.227876
2004-06-25,4.72139,4.3732214,4.054907
2004-07-03,5.186708,4.8216114,4.72139
2004-07-11,3.0965106,4.5959444,5.186708
2004-07-19,4.0135303,3.4354937,3.0965106
2004-07-27,3.5526595,3.7123065,4.0135303
2004-08-04,2.7014465,3.382177,3.5526595
2004-08-12,2.6285686,3.1869252,2.7014465
2004-08-20,3.632671,2.85615,2.6285686
2004-08-28,3.8029656,3.3062932,3.632671
2004-09-05,3.9915595,3.3782744,3.8029656
2004-09-13,4.1949797,3.7191226,3.9915595
2004-09-21,4.7305493,3.9563875,4.1949797
2004-09-29,2.8401842,4.556266,4.7305493
2004-10-07,2.4603772,3.319837,2.8401842
2004-10-15,2.6763895,3.1539752,2.4603772
2004-10-23,3.123433,2.8011131,2.6763895
2004-10-31,3.2573168,2.9735658,3.123433
2004-11-08,4.4623413,3.063276,3.2573168
2004-11-16,4.599076,3.473749,4.4623413
2004-11-24,3.6624763,3.7814443,4.599076
2004-12-02,3.8266716,3.6013584,3.6624763
2004-12-10,3.8152342,3.495051,3.8266716
2004-12-18,1.9460833,3.235714,3.8152342
2004-12-26,1.5671029,2.0908062,1.9460833
2005-01-01,1.469062,1.6849531,1.5671029
2005-01-09,2.6256251,1.5013368,1.469062
2005-01-17,2.7393935,2.2630706,2.6256251
2005-01-25,1.7643393,2.3798237,2.7393935
2005-02-02,1.820084,1.7503194,1.7643393
2005-02-10,1.9130065,2.0009446,1.820084
2005-02-18,1.9457209,2.0042217,1.9130065
2005-02-26,2.0436823,1.9438177,1.9457209
2005-03-06,1.8374381,1.9963229,2.0436823
2005-03-14,2.1068695,2.2711499,1.8374381
2005-03-22,2.0040324,2.388042,2.1068695
2005-03-30,7.0349064,2.421445,2.0040324
2005-04-07,8.15415,5.031252,7.0349064
2005-04-15,4.844951,5.847106,8.15415
2005-04-23,7.5338135,4.3605084,4.844951
2005-05-01,4.8008237,5.1823936,7.5338135
2005-05-09,5.4092703,3.9728792,4.8008237
2005-05-17,5.187905,4.9243007,5.4092703
2005-05-25,5.1141057,4.789069,5.187905
2005-06-02,3.4971423,4.658111,5.1141057
2005-06-10,5.7344007,4.079844,3.4971423
2005-06-18,8.261067,5.3762054,5.7344007
2005-06-26,7.4870973,6.3760805,8.261067
2005-07-04,4.8166466,5.968785,7.4870973
2005-07-12,6.061317,4.448486,4.8166466
2005-07-20,4.7028584,5.0778713,6.061317
2005-07-28,5.4450355,4.5584855,4.7028584
2005-08-05,4.4219875,4.8498907,5.4450355
2005-08-13,4.299046,4.3890696,4.4219875
2005-08-21,3.6375349,4.299464,4.299046
2005-08-29,6.1541796,3.674422,3.6375349
2005-09-06,6.1335397,5.1926417,6.1541796
2005-09-14,5.7197585,5.198714,6.1335397
2005-09-22,6.994846,4.9839306,5.7197585
2005-09-30,5.701287,5.738828,6.994846
2005-10-08,6.053188,5.486342,5.701287
2005-10-16,6.4747357,5.830824,6.053188
2005-10-24,5.060205,5.7345066,6.4747357
2005-11-01,4.7670093,4.8288374,5.060205
2005-11-09,4.937526,4.558087,4.7670093
2005-11-17,7.3618255,4.4683375,4.937526
2005-11-25,3.483138,5.6106715,7.3618255
2005-12-03,4.0368023,3.6978102,3.483138
2005-12-11,3.9555142,3.82109,4.0368023
2005-12-19,2.9401038,3.4432297,3.9555142
2005-12-27,2.2624357,2.955772,2.9401038
2006-01-01,3.0517828,2.3889616,2.2624357
2006-01-09,4.1032295,2.8735209,3.0517828
2006-01-17,4.178512,3.665655,4.1032295
2006-01-25,4.2666416,3.7629156,4.178512
2006-02-02,5.2408786,3.7886612,4.2666416
2006-02-10,3.1015682,4.2506137,5.2408786
2006-02-18,5.520895,3.20649,3.1015682
2006-02-26,3.3623836,4.640446,5.520895
2006-03-06,3.2071593,3.3020468,3.3623836
2006-03-14,4.9858475,3.4245052,3.2071593
2006-03-22,5.611485,4.6466413,4.9858475
2006-03-30,2.625562,4.654025,5.611485
2006-04-07,3.2944546,3.007801,2.625562
2006-04-15,3.864415,3.5673537,3.2944546
2006-04-23,4.434246,4.033131,3.864415
2006-05-01,5.2300644,4.3227468,4.434246
2006-05-09,7.6730814,4.7875304,5.2300644
2006-05-17,5.6079836,5.6067443,7.6730814
2006-05-25,4.573242,4.89715,5.6079836
2006-06-02,5.458993,4.429714,4.573242
2006-06-10,7.1060266,4.861326,5.458993
2006-06-18,5.924577,5.9715037,7.1060266
2006-06-26,4.072216,5.3541384,5.924577
2006-07-04,2.884454,4.1370482,4.072216
2006-07-12,4.196136,3.1392484,2.884454
2006-07-20,7.0190706,4.0069723,4.196136
2006-07-28,4.9808497,5.125217,7.0190706
2006-08-05,5.287677,4.337929,4.9808497
2006-08-13,5.4406567,4.3769746,5.287677
2006-08-21,4.205951,4.7093754,5.4406567
2006-08-29,6.424214,4.184041,4.205951
2006-09-06,4.6187053,5.3893957,6.424214
2006-09-14,4.3691335,4.5615196,4.6187053
2006-09-22,3.233263,4.2353673,4.3691335
2006-09-30,3.860848,3.3156703,3.233263
2006-10-08,3.9902194,3.365916,3.860848
2006-10-16,5.9560943,3.5220456,3.9902194
2006-10-24,6.034643,4.9191127,5.9560943
2006-11-01,4.4602084,4.874273,6.034643
2006-11-09,2.312034,3.8840473,4.4602084
2006-11-17,4.5672226,2.6307194,2.312034
2006-11-25,2.7217007,3.8035283,4.5672226
2006-12-03,4.387087,2.8867874,2.7217007
2006-12-11,1.7507765,3.3458788,4.387087
2006-12-19,1.9733737,1.8204478,1.7507765
2006-12-27,1.670093,1.9714942,1.9733737
2007-01-01,2.0246246,1.8458936,1.670093
2007-01-09,1.7606401,2.0673053,2.0246246
2007-01-17,1.4687868,1.8464255,1.7606401
2007-01-25,1.080347,1.6423185,1.4687868
2007-02-02,1.3631314,1.2469072,1.080347
2007-02-10,1.4799742,1.4769802,1.3631314
2007-02-18,1.4697242,1.7328385,1.4799742
2007-02-26,2.4103403,1.764598,1.4697242
2007-03-06,5.223158,2.5069654,2.4103403
2007-03-14,3.9448934,3.92765,5.223158
2007-03-22,4.1038876,3.4012249,3.9448934
2007-03-30,5.9592366,3.7833035,4.1038876
2007-04-07,3.8017478,4.7637014,5.9592366
2007-04-15,3.718059,4.068441,3.8017478
2007-04-23,4.9469748,3.844326,3.718059
2007-05-01,4.9646773,4.5525107,4.9469748
2007-05-09,6.482121,4.46476,4.9646773
2007-05-17,7.274168,5.4446363,6.482121
2007-05-25,6.465445,5.521462,7.274168
2007-06-02,4.9818144,5.30373,6.465445
2007-06-10,4.324696,4.8574996,4.9818144
2007-06-18,4.850744,4.5645604,4.324696
2007-06-26,4.2523813,4.716947,4.850744
2007-07-04,4.10459,4.427288,4.2523813
2007-07-12,3.0415523,3.9897587,4.10459
2007-07-20,3.4677088,3.1910532,3.0415523
2007-07-28,3.618996,3.4778118,3.4677088
