month,rmse_log_model,rmse_log_pers,mae_log_model,mae_log_pers,rmse_mg_model,rmse_mg_pers,mae_mg_model,mae_mg_pers,skill_log_pct,skill_mg_pct
1,0.6106944,0.6525371,0.4531647,0.46189708,1.9722562,2.399856,0.92495275,1.02606,6.4123096,17.81773
2,0.64732283,0.7216746,0.4855892,0.5204848,2.7326276,3.146747,1.1748185,1.3155047,10.302675,13.16024
3,0.8243819,0.9348432,0.621254,0.6700605,5.19992,6.028149,2.3852634,2.7340462,11.816025,13.739359
4,0.93627584,1.0761381,0.7235883,0.7813391,6.790757,8.275325,3.374081,4.0470853,12.996685,17.939693
5,0.9364779,1.0764201,0.71583956,0.7648,6.9188414,8.621326,3.366595,4.043748,13.000703,19.74737
6,0.89210814,1.0214977,0.6720103,0.7146594,6.476226,8.037058,3.0651612,3.6016805,12.666655,19.420439
7,0.84486043,0.9213748,0.62666136,0.6260612,5.442437,6.746399,2.4019191,2.7467942,8.304369,19.32826
8,0.8369739,0.8989185,0.6317733,0.60477155,5.464906,6.4712243,2.3767304,2.5965083,6.891012,15.550661
9,0.80350125,0.88339037,0.62080985,0.6203683,5.1526585,6.439484,2.4761355,2.9908674,9.043467,19.983364
10,0.7880856,0.8386647,0.60964894,0.580144,4.80686,5.9195285,2.1961741,2.5994833,6.0309114,18.796576
11,0.7469677,0.7918453,0.5765067,0.55815834,4.025038,5.072624,1.7556504,2.1308937,5.6674776,20.651764
12,0.6736669,0.7004696,0.50735277,0.48540774,3.041534,3.8214874,1.176528,1.3640835,3.8263917,20.409685
