time,chl_obs,chl_model,chl_pers
2003-02-18,1.5418499,1.5321676,1.7958353
2003-02-26,2.2197962,1.770822,1.5418499
2003-03-06,3.2893417,2.2944396,2.2197962
2003-03-14,2.8951066,3.054346,3.2893417
2003-03-22,4.4074287,3.052377,2.8951066
2003-03-30,6.424072,3.8243468,4.4074287
2003-04-07,6.168683,4.31336,6.424072
2003-04-15,4.7786927,4.4400697,6.168683
2003-04-23,5.864217,4.195576,4.7786927
2003-05-01,3.8495212,4.7919736,5.864217
2003-05-09,4.501156,4.2244086,3.8495212
2003-05-17,6.309344,4.5445495,4.501156
2003-05-25,7.016858,4.9174013,6.309344
2003-06-02,6.376866,4.8719635,7.016858
2003-06-10,6.833793,4.516672,6.376866
2003-06-18,4.805322,5.0266066,6.833793
2003-06-26,6.43221,4.787344,4.805322
2003-07-04,4.615883,4.9202104,6.43221
2003-07-12,6.6974206,4.0816903,4.615883
2003-07-20,4.790223,4.8971167,6.6974206
2003-07-28,3.2444782,4.0248427,4.790223
2003-08-05,5.002587,3.2428067,3.2444782
2003-08-13,4.8277574,4.0847616,5.002587
2003-08-21,5.9309688,4.1428576,4.8277574
2003-08-29,5.2327576,4.589335,5.9309688
2003-09-06,6.023791,4.427373,5.2327576
2003-09-14,6.558862,4.891329,6.023791
2003-09-22,6.3064327,5.037746,6.558862
2003-09-30,3.8059113,4.827498,6.3064327
2003-10-08,4.316792,3.6107144,3.8059113
2003-10-16,4.6391187,3.7093585,4.316792
2003-10-24,3.5154665,3.460221,4.6391187
2003-11-01,1.9893955,3.2925234,3.5154665
2003-11-09,2.132691,2.3050218,1.9893955
2003-11-17,2.171029,2.1672506,2.132691
2003-11-25,1.6852218,2.4417305,2.171029
2003-12-03,1.895372,1.7810639,1.6852218
2003-12-11,2.0848663,1.6108651,1.895372
2003-12-19,1.372717,1.9120934,2.0848663
2003-12-27,1.4454992,1.2951276,1.372717
2004-01-01,1.7828571,1.6415889,1.4454992
2004-01-09,1.7735444,1.666069,1.7828571
2004-01-17,1.5464535,1.4368137,1.7735444
2004-01-25,1.440012,1.6412506,1.5464535
2004-02-02,2.0759327,1.7499007,1.440012
2004-02-10,3.6540477,2.3792176,2.0759327
2004-02-18,1.6024148,2.5888255,3.6540477
2004-02-26,2.3409004,1.722316,1.6024148
2004-03-05,3.5029085,2.57514,2.3409004
2004-03-13,5.404315,3.4834712,3.5029085
2004-03-21,6.0198326,3.8873444,5.404315
2004-03-29,5.8358974,4.3257604,6.0198326
2004-04-06,7.331246,4.6769733,5.8358974
2004-04-14,7.80151,5.415736,7.331246
2004-04-22,8.066002,5.451347,7.80151
2004-04-30,6.1988025,6.0459585,8.066002
2004-05-08,5.763052,5.3208485,6.1988025
2004-05-16,7.1225533,5.2002077,5.763052
2004-05-24,6.1605387,5.9891996,7.1225533
2004-06-01,5.845212,5.723373,6.1605387
2004-06-09,5.227876,5.4596963,5.845212
2004-06-17,4.054907,5.137293,5.227876
2004-06-25,4.72139,4.014377,4.054907
2004-07-03,5.186708,4.296923,4.72139
2004-07-11,3.0965106,4.0975766,5.186708
2004-07-19,4.0135303,3.4711905,3.0965106
2004-07-27,3.5526595,3.5975227,4.0135303
2004-08-04,2.7014465,3.192268,3.5526595
2004-08-12,2.6285686,3.044781,2.7014465
2004-08-20,3.632671,2.7660134,2.6285686
2004-08-28,3.8029656,3.1279345,3.632671
2004-09-05,3.9915595,3.2303276,3.8029656
2004-09-13,4.1949797,3.4081907,3.9915595
2004-09-21,4.7305493,3.8204637,4.1949797
2004-09-29,2.8401842,4.1370997,4.7305493
2004-10-07,2.4603772,3.3007493,2.8401842
2004-10-15,2.6763895,2.916702,2.4603772
2004-10-23,3.123433,2.4435027,2.6763895
2004-10-31,3.2573168,2.6499043,3.123433
2004-11-08,4.4623413,2.7188249,3.2573168
2004-11-16,4.599076,2.9041085,4.4623413
2004-11-24,3.6624763,3.212766,4.599076
2004-12-02,3.8266716,3.0919929,3.6624763
2004-12-10,3.8152342,2.8122077,3.8266716
2004-12-18,1.9460833,2.468204,3.8152342
2004-12-26,1.5671029,1.8462329,1.9460833
2005-01-01,1.469062,1.3523943,1.5671029
2005-01-09,2.6256251,1.2912483,1.469062
2005-01-17,2.7393935,2.0965226,2.6256251
2005-01-25,1.7643393,2.1106412,2.7393935
2005-02-02,1.820084,1.6503121,1.7643393
2005-02-10,1.9130065,2.0978982,1.820084
2005-02-18,1.9457209,1.7987285,1.9130065
2005-02-26,2.0436823,1.6230284,1.9457209
2005-03-06,1.8374381,1.8534915,2.0436823
2005-03-14,2.1068695,2.4658206,1.8374381
2005-03-22,2.0040324,2.6394718,2.1068695
2005-03-30,7.0349064,2.6342807,2.0040324
2005-04-07,8.15415,4.7066326,7.0349064
2005-04-15,4.844951,5.71143,8.15415
2005-04-23,7.5338135,4.3087425,4.844951
