time,chl_obs,chl_model,chl_pers
2003-02-02,2.0054178,2.9359028,1.8042537
2003-02-10,1.7958353,3.2019722,2.0054178
2003-02-18,1.5418499,2.6243076,1.7958353
2003-02-26,2.2197962,2.9076817,1.5418499
2003-03-06,3.2893417,3.6300309,2.2197962
2003-03-14,2.8951066,4.719254,3.2893417
2003-03-22,4.4074287,4.7777824,2.8951066
2003-03-30,6.4490337,6.0206676,4.4074287
2003-04-07,6.168683,6.854849,6.4490337
2003-04-15,4.7786927,7.266513,6.168683
2003-04-23,5.864217,6.867038,4.7786927
2003-05-01,3.8495212,7.7825885,5.864217
2003-05-09,4.501156,6.537916,3.8495212
2003-05-17,6.309344,7.5096426,4.501156
2003-05-25,7.146707,8.053435,6.309344
2003-06-02,6.5344696,7.9877577,7.146707
2003-06-10,6.890946,7.2357793,6.5344696
2003-06-18,4.805322,8.112461,6.890946
2003-06-26,6.43221,8.058282,4.805322
2003-07-04,4.615883,8.024712,6.43221
2003-07-12,6.6974206,6.857153,4.615883
2003-07-20,4.82896,8.210929,6.6974206
2003-07-28,3.2444782,6.6939635,4.82896
2003-08-05,5.002587,4.952151,3.2444782
2003-08-13,4.8277574,6.5806828,5.002587
2003-08-21,5.9309688,6.8733125,4.8277574
2003-08-29,5.2327576,7.314874,5.9309688
2003-09-06,6.023791,7.101826,5.2327576
2003-09-14,6.558862,7.8910303,6.023791
2003-09-22,6.3064327,8.523012,6.558862
2003-09-30,3.8059113,7.791376,6.3064327
2003-10-08,4.316792,6.069352,3.8059113
2003-10-16,4.6391187,6.3554554,4.316792
2003-10-24,3.5154665,6.1567965,4.6391187
2003-11-01,1.9893955,5.9123726,3.5154665
2003-11-09,2.132691,4.13086,1.9893955
2003-11-17,2.171029,3.747566,2.132691
2003-11-25,1.6852218,4.0924363,2.171029
2003-12-03,1.895372,3.1341844,1.6852218
2003-12-11,2.0848663,2.8411422,1.895372
2003-12-19,1.372717,3.19751,2.0848663
2003-12-27,1.4454992,2.29537,1.372717
2004-01-01,1.7828571,2.7832816,1.4454992
2004-01-09,1.7735444,2.82489,1.7828571
2004-01-17,1.5464535,2.385308,1.7735444
2004-01-25,1.440012,2.641957,1.5464535
2004-02-02,2.0759327,2.779739,1.440012
2004-02-10,3.6540477,3.6577942,2.0759327
2004-02-18,1.6024148,4.172722,3.6540477
2004-02-26,2.3409004,2.9063876,1.6024148
2004-03-05,3.5029085,4.042962,2.3409004
2004-03-13,5.404315,5.4526987,3.5029085
2004-03-21,6.103433,6.214039,5.404315
2004-03-29,5.8853946,6.490982,6.103433
2004-04-06,7.3579454,7.288707,5.8853946
2004-04-14,7.822222,8.49866,7.3579454
2004-04-22,8.090731,8.833925,7.822222
2004-04-30,6.222952,9.863493,8.090731
2004-05-08,5.763052,8.533794,6.222952
2004-05-16,7.1225533,8.659734,5.763052
2004-05-24,6.1605387,10.095091,7.1225533
2004-06-01,5.870076,9.375653,6.1605387
2004-06-09,5.227876,8.968844,5.870076
2004-06-17,4.054907,8.900423,5.227876
2004-06-25,4.72139,6.7341256,4.054907
2004-07-03,5.255397,7.497782,4.72139
2004-07-11,3.124697,7.0320067,5.255397
2004-07-19,4.0135303,5.289157,3.124697
2004-07-27,3.5841017,5.687892,4.0135303
2004-08-04,2.7014465,5.356089,3.5841017
2004-08-12,2.6285686,4.9351797,2.7014465
2004-08-20,3.632671,4.6188927,2.6285686
2004-08-28,3.8029656,5.156166,3.632671
2004-09-05,3.9915595,5.4879847,3.8029656
2004-09-13,4.1949797,5.789209,3.9915595
2004-09-21,4.7305493,6.284284,4.1949797
2004-09-29,2.8401842,7.171375,4.7305493
2004-10-07,2.4603772,5.3840384,2.8401842
2004-10-15,2.6763895,4.94035,2.4603772
2004-10-23,3.123433,4.353561,2.6763895
2004-10-31,3.2573168,4.838673,3.123433
2004-11-08,4.4623413,4.918791,3.2573168
2004-11-16,4.599076,5.107228,4.4623413
2004-11-24,3.6624763,5.654906,4.599076
2004-12-02,3.8266716,5.455203,3.6624763
2004-12-10,3.8152342,4.813364,3.8266716
2004-12-18,1.9460833,4.249259,3.8152342
2004-12-26,1.5671029,3.2494862,1.9460833
2005-01-01,1.469062,2.5048542,1.5671029
2005-01-09,2.6256251,2.3879936,1.469062
2005-01-17,2.7393935,3.4044578,2.6256251
2005-01-25,1.7643393,3.273484,2.7393935
2005-02-02,1.820084,2.7391748,1.7643393
2005-02-10,1.9130065,3.4234173,1.820084
2005-02-18,1.9457209,3.0745003,1.9130065
2005-02-26,2.0436823,2.7921882,1.9457209
2005-03-06,1.8374381,3.0193412,2.0436823
2005-03-14,2.1068695,3.678459,1.8374381
2005-03-22,2.0040324,3.9112568,2.1068695
2005-03-30,7.0349064,4.163126,2.0040324
2005-04-07,8.15415,7.239014,7.0349064
2005-04-15,4.86333,8.648715,8.15415
2005-04-23,7.5502396,7.0398016,4.86333
2005-05-01,4.8008237,7.949778,7.5502396
2005-05-09,5.4092703,6.4581833,4.8008237
2005-05-17,5.187905,7.767204,5.4092703
2005-05-25,5.1811666,7.789463,5.187905
2005-06-02,3.4971423,7.6787696,5.1811666
2005-06-10,5.7344007,6.7329197,3.4971423
2005-06-18,8.329042,7.9864445,5.7344007
2005-06-26,7.4870973,9.23805,8.329042
2005-07-04,4.8166466,8.975442,7.4870973
2005-07-12,6.061317,6.7978354,4.8166466
2005-07-20,4.7028584,7.805312,6.061317
2005-07-28,5.461362,6.8831525,4.7028584
2005-08-05,4.4219875,7.210588,5.461362
2005-08-13,4.3602557,6.4336658,4.4219875
2005-08-21,3.6375349,6.467893,4.3602557
2005-08-29,6.1541796,5.756607,3.6375349
2005-09-06,6.1704082,7.676865,6.1541796
2005-09-14,5.784744,7.668563,6.1704082
2005-09-22,6.994846,7.4527392,5.784744
2005-09-30,5.701287,8.573236,6.994846
2005-10-08,6.053188,7.8903594,5.701287
2005-10-16,6.5130267,8.217503,6.053188
2005-10-24,5.060205,8.148618,6.5130267
2005-11-01,4.7670093,7.2354703,5.060205
2005-11-09,4.937526,6.8996663,4.7670093
2005-11-17,7.3618255,6.6289086,4.937526
2005-11-25,3.483138,7.3534513,7.3618255
2005-12-03,4.0368023,5.738464,3.483138
2005-12-11,4.0317407,5.4098177,4.0368023
2005-12-19,2.9401038,4.702706,4.0317407
2005-12-27,2.2624357,3.834524,2.9401038
2006-01-01,3.0517828,3.7395995,2.2624357
2006-01-09,4.1032295,4.027843,3.0517828
2006-01-17,4.178512,5.0641785,4.1032295
2006-01-25,4.2666416,5.2835693,4.178512
2006-02-02,5.2408786,5.4278216,4.2666416
2006-02-10,3.1015682,6.1062055,5.2408786
2006-02-18,5.520895,4.998281,3.1015682
2006-02-26,3.3623836,6.36243,5.520895
2006-03-06,3.2071593,4.4786386,3.3623836
2006-03-14,4.9858475,5.3047795,3.2071593
2006-03-22,5.611485,6.3392053,4.9858475
2006-03-30,2.625562,6.322317,5.611485
2006-04-07,3.2944546,4.565507,2.625562
2006-04-15,3.864415,5.7669096,3.2944546
2006-04-23,4.4881616,7.1060295,3.864415
2006-05-01,5.2531104,7.247541,4.4881616
2006-05-09,7.798314,7.5900455,5.2531104
2006-05-17,5.6079836,8.563033,7.798314
2006-05-25,4.573242,7.0952873,5.6079836
2006-06-02,5.495888,7.240438,4.573242
2006-06-10,7.1226344,7.757648,5.495888
2006-06-18,5.924577,9.185605,7.1226344
2006-06-26,4.072216,8.727999,5.924577
2006-07-04,2.884454,6.5160117,4.072216
2006-07-12,4.196136,5.2497344,2.884454
2006-07-20,7.0493307,6.212743,4.196136
2006-07-28,4.9808497,7.605635,7.0493307
2006-08-05,5.287677,6.253317,4.9808497
2006-08-13,5.4406567,6.528821,5.287677
2006-08-21,4.205951,6.868735,5.4406567
2006-08-29,6.508801,6.079776,4.205951
2006-09-06,4.6187053,7.519019,6.508801
2006-09-14,4.3691335,6.505286,4.6187053
2006-09-22,3.233263,6.2391725,4.3691335
2006-09-30,3.8924067,4.9539104,3.233263
2006-10-08,3.9902194,5.295661,3.8924067
2006-10-16,5.9560943,5.174261,3.9902194
2006-10-24,6.034643,6.8261876,5.9560943
2006-11-01,4.4602084,6.901397,6.034643
2006-11-09,2.312034,5.2815647,4.4602084
2006-11-17,4.5672226,4.4614897,2.312034
2006-11-25,2.7217007,5.4539976,4.5672226
2006-12-03,4.387087,4.724055,2.7217007
2006-12-11,1.7507765,4.3788238,4.387087
2006-12-19,1.9733737,3.0678701,1.7507765
2006-12-27,1.670093,3.0148149,1.9733737
2007-01-01,2.0246246,2.9885633,1.670093
2007-01-09,1.7606401,3.2464232,2.0246246
2007-01-17,1.4687868,3.0972135,1.7606401
2007-01-25,1.080347,2.6456387,1.4687868
2007-02-02,1.3816897,1.9608042,1.080347
2007-02-10,1.4799742,2.1729538,1.3816897
2007-02-18,1.4697242,2.6759942,1.4799742
2007-02-26,2.4103403,2.9291127,1.4697242
2007-03-06,5.2849727,3.6593866,2.4103403
2007-03-14,3.9448934,5.4648314,5.2849727
2007-03-22,4.1038876,5.1845794,3.9448934
2007-03-30,5.985773,5.946564,4.1038876
2007-04-07,3.8567638,7.0362563,5.985773
2007-04-15,3.718059,6.308399,3.8567638
2007-04-23,4.9807377,6.2591586,3.718059
2007-05-01,5.0215516,6.8622494,4.9807377
2007-05-09,6.588015,6.88428,5.0215516
2007-05-17,7.313284,8.051787,6.588015
2007-05-25,6.526027,8.092007,7.313284
2007-06-02,5.037032,7.593817,6.526027
2007-06-10,4.342447,7.317806,5.037032
2007-06-18,4.930559,7.4703984,4.342447
2007-06-26,4.2938523,7.249248,4.930559
2007-07-04,4.16939,6.773046,4.2938523
2007-07-12,3.0415523,6.166231,4.16939
2007-07-20,3.4677088,4.9004874,3.0415523
2007-07-28,3.618996,5.604883,3.4677088
2007-08-05,3.889941,5.8348527,3.618996
2007-08-13,3.8914034,5.7541957,3.889941
2007-08-21,5.131294,5.7818456,3.8914034
2007-08-29,4.4808197,6.8380055,5.131294
2007-09-06,3.960891,6.4494786,4.4808197
2007-09-14,4.003918,6.268726,3.960891
2007-09-22,4.6449065,6.1780496,4.003918
2007-09-30,3.429138,6.401853,4.6449065
2007-10-08,3.091586,5.865359,3.429138
2007-10-16,3.4225526,5.1280475,3.091586
2007-10-24,3.4406688,5.6165996,3.4225526
2007-11-01,2.6353757,5.4564686,3.4406688
2007-11-09,3.121727,4.3004913,2.6353757
2007-11-17,3.0445678,4.4510975,3.121727
2007-11-25,2.8169222,4.738814,3.0445678
2007-12-03,2.1134799,4.495107,2.8169222
2007-12-11,2.508352,3.5403912,2.1134799
2007-12-19,2.069216,3.5255134,2.508352
2007-12-27,1.538346,3.5058837,2.069216
2008-01-01,2.058566,3.1425045,1.538346
2008-01-09,2.4164186,3.0206628,2.058566
2008-01-17,2.358352,3.5482342,2.4164186
2008-01-25,1.6566837,3.5216393,2.358352
2008-02-02,2.2240033,2.8364396,1.6566837
2008-02-10,2.7926466,3.753165,2.2240033
2008-02-18,2.056615,3.8733919,2.7926466
2008-02-26,2.3665357,3.1462088,2.056615
2008-03-05,2.877883,3.8179717,2.3665357
2008-03-13,3.5034585,4.857677,2.877883
2008-03-21,5.7630916,5.586796,3.5034585
2008-03-29,3.6720147,6.4355855,5.7630916
2008-04-06,6.5201,5.077899,3.6720147
2008-04-14,7.653829,7.378832,6.5201
2008-04-22,5.6516213,8.481078,7.653829
2008-04-30,4.8386016,7.6337028,5.6516213
2008-05-08,4.2000804,7.350958,4.8386016
2008-05-16,6.4372706,6.4878674,4.2000804
2008-05-24,4.8876934,7.865095,6.4372706
2008-06-01,5.179267,6.8849764,4.8876934
2008-06-09,4.489248,7.883843,5.179267
2008-06-17,6.642521,6.6978555,4.489248
2008-06-25,4.3154283,7.5947456,6.642521
2008-07-03,2.679981,6.0362062,4.3154283
2008-07-11,2.5594208,4.788925,2.679981
2008-07-19,2.6684902,4.3977075,2.5594208
2008-07-27,4.246173,4.878221,2.6684902
2008-08-04,3.323652,5.613529,4.246173
2008-08-12,2.3117309,4.868397,3.323652
2008-08-20,2.5343497,4.114031,2.3117309
2008-08-28,3.2531621,4.4378963,2.5343497
2008-09-05,5.0356407,4.9197464,3.2531621
2008-09-13,2.3991275,5.885502,5.0356407
2008-09-21,4.5996156,4.246494,2.3991275
2008-09-29,3.454414,6.178878,4.5996156
2008-10-07,1.9129773,4.95421,3.454414
2008-10-15,3.9169466,4.2798615,1.9129773
2008-10-23,6.8467464,5.4631963,3.9169466
2008-10-31,2.2342181,6.573215,6.8467464
2008-11-08,1.7499958,3.1562638,2.2342181
2008-11-16,1.8804716,3.2751276,1.7499958
2008-11-24,1.2673478,3.1830258,1.8804716
2008-12-02,1.9306924,2.4192777,1.2673478
2008-12-10,2.0189142,2.8858821,1.9306924
2008-12-18,1.4948144,3.13619,2.0189142
2008-12-26,1.6816308,2.7524576,1.4948144
2009-01-01,2.0364542,2.9040422,1.6816308
2009-01-09,1.9510708,3.0276623,2.0364542
2009-01-17,2.4525037,2.7909534,1.9510708
2009-01-25,2.715769,3.0143802,2.4525037
2009-02-02,2.9024673,3.7497814,2.715769
2009-02-10,1.642865,3.656773,2.9024673
2009-02-18,2.0360544,2.8853114,1.642865
2009-02-26,2.5469356,2.9114153,2.0360544
2009-03-06,2.9926107,3.320013,2.5469356
2009-03-14,4.7057095,4.6691856,2.9926107
2009-03-22,4.231009,5.5475707,4.7057095
2009-03-30,5.4275823,5.8346896,4.231009
2009-04-07,3.477978,6.316297,5.4275823
2009-04-15,5.5843177,5.544935,3.477978
2009-04-23,5.455876,6.9460907,5.5843177
2009-05-01,5.3596673,7.2216983,5.455876
2009-05-09,4.9383593,6.7275953,5.3596673
2009-05-17,5.397035,6.6769595,4.9383593
2009-05-25,5.707018,6.682215,5.397035
2009-06-02,3.8066332,6.6409445,5.707018
2009-06-10,3.8796258,5.5076823,3.8066332
2009-06-18,2.882596,5.9235764,3.8796258
2009-06-26,4.7682,5.5213933,2.882596
2009-07-04,4.0743165,6.442211,4.7682
2009-07-12,4.548333,5.3457394,4.0743165
2009-07-20,3.1788359,5.5536222,4.548333
2009-07-28,3.6044197,4.7834306,3.1788359
2009-08-05,7.1330047,4.8786,3.6044197
2009-08-13,5.4420037,7.485594,7.1330047
2009-08-21,4.647584,6.345296,5.4420037
2009-08-29,4.677847,5.6985407,4.647584
2009-09-06,5.131371,6.205919,4.677847
2009-09-14,3.83357,6.7785635,5.131371
2009-09-22,4.7030377,5.914255,3.83357
2009-09-30,4.0126066,6.82289,4.7030377
2009-10-08,2.7558105,6.4911203,4.0126066
2009-10-16,3.903011,4.2663903,2.7558105
2009-10-24,1.9559029,4.7999997,3.903011
2009-11-01,2.8095615,4.241658,1.9559029
2009-11-09,2.5798237,4.168683,2.8095615
2009-11-17,2.161368,4.0082,2.5798237
2009-11-25,2.1069987,3.7940493,2.161368
2009-12-03,2.0018017,3.5702271,2.1069987
2009-12-11,2.3814163,2.869121,2.0018017
2009-12-19,1.7864099,2.7738717,2.3814163
2009-12-27,2.6651654,2.553078,1.7864099
2010-01-01,2.248186,2.9489985,2.6651654
2010-01-09,1.1281077,2.715035,2.248186
2010-01-17,1.6609229,1.8908226,1.1281077
2010-01-25,2.0730846,2.3694544,1.6609229
2010-02-02,1.7725103,2.7513008,2.0730846
2010-02-10,2.1563985,2.6747327,1.7725103
2010-02-18,1.3951316,3.2280867,2.1563985
2010-02-26,1.5692352,2.5389237,1.3951316
2010-03-06,2.4006674,2.7279139,1.5692352
2010-03-14,5.491864,4.617855,2.4006674
2010-03-22,6.254537,6.267858,5.491864
2010-03-30,6.816448,6.5351925,6.254537
2010-04-07,4.7099733,6.925559,6.816448
2010-04-15,2.5897694,6.496668,4.7099733
2010-04-23,3.2710543,4.8020554,2.5897694
2010-05-01,4.579766,6.5698667,3.2710543
2010-05-09,4.0388303,7.0928307,4.579766
2010-05-17,6.606389,6.1190095,4.0388303
2010-05-25,5.1018124,7.405831,6.606389
2010-06-02,3.2697744,6.4385557,5.1018124
2010-06-10,2.3405454,5.364856,3.2697744
2010-06-18,2.9517524,5.3011007,2.3405454
2010-06-26,5.125505,5.268089,2.9517524
2010-07-04,3.8187008,6.6786017,5.125505
2010-07-12,4.3410144,5.037928,3.8187008
2010-07-20,3.249107,5.695715,4.3410144
2010-07-28,3.3995557,4.823573,3.249107
2010-08-05,2.5878546,5.0723324,3.3995557
2010-08-13,3.6234071,4.704638,2.5878546
2010-08-21,6.085232,5.425335,3.6234071
2010-08-29,7.740538,7.3868003,6.085232
2010-09-06,4.593596,8.205525,7.740538
2010-09-14,4.2484455,6.5280013,4.593596
2010-09-22,4.947189,6.185986,4.2484455
2010-09-30,3.0342638,7.0092015,4.947189
2010-10-08,4.0851917,5.538815,3.0342638
2010-10-16,4.126203,6.1922,4.0851917
2010-10-24,4.3804755,6.126046,4.126203
2010-11-01,5.596904,6.0625167,4.3804755
2010-11-09,4.466249,6.2120185,5.596904
2010-11-17,3.4079983,6.2231483,4.466249
2010-11-25,5.37638,5.9661264,3.4079983
2010-12-03,5.2638135,6.8952074,5.37638
2010-12-11,5.8120766,5.452986,5.2638135
2010-12-19,2.815189,5.5818076,5.8120766
2010-12-27,3.0828493,3.6109693,2.815189
2011-01-01,2.6925042,4.876661,3.0828493
2011-01-09,2.910613,4.041606,2.6925042
2011-01-17,2.931919,4.089617,2.910613
2011-01-25,3.3551028,4.0895357,2.931919
2011-02-02,4.7293096,4.3599625,3.3551028
2011-02-10,3.9356506,5.665212,4.7293096
2011-02-18,1.9967632,4.7037125,3.9356506
2011-02-26,3.1178355,3.7971363,1.9967632
2011-03-06,4.0705585,4.1020393,3.1178355
2011-03-14,2.763893,5.1523514,4.0705585
2011-03-22,4.0001736,4.638044,2.763893
2011-03-30,3.0279133,5.3582673,4.0001736
2011-04-07,4.349012,4.9631686,3.0279133
2011-04-15,4.5575366,6.499182,4.349012
2011-04-23,6.2883897,6.806712,4.5575366
