month,rmse_log_model,rmse_log_pers,mae_log_model,mae_log_pers,rmse_mg_model,rmse_mg_pers,mae_mg_model,mae_mg_pers,skill_log_pct,skill_mg_pct
1,0.60238975,0.6525371,0.44124556,0.46189708,1.9895561,2.399856,0.9256919,1.02606,7.684981822967529,17.096859216690063
2,0.6484716,0.7216746,0.47986802,0.5204848,2.7599351,3.146747,1.1770194,1.3155047,10.143494606018066,12.292438745498657
3,0.8280812,0.9348432,0.61386263,0.6700605,5.2398443,6.028149,2.3849638,2.7340462,11.42030954360962,13.077062368392944
4,0.94021404,1.0761381,0.71218705,0.7813391,6.8771167,8.275325,3.3714519,4.0470853,12.630730867385864,16.896110773086548
5,0.938413,1.0764201,0.70128316,0.7648,7.011419,8.621326,3.3423345,4.043748,12.820929288864136,18.673551082611084
6,0.8937169,1.0214977,0.657568,0.7146594,6.569785,8.037058,3.0394018,3.6016805,12.509167194366455,18.25634241104126
7,0.8306949,0.9213748,0.59862447,0.6260612,5.491286,6.746399,2.3489883,2.7467942,9.84179973602295,18.60419511795044
8,0.821999,0.8989185,0.59940964,0.60477155,5.501589,6.4712243,2.330656,2.5965083,8.556890487670898,14.983803033828735
9,0.79097754,0.88339037,0.59187603,0.6203683,5.2282867,6.439484,2.4816446,2.9908674,10.461151599884033,18.808919191360474
10,0.7663041,0.8386647,0.5704817,0.580144,4.8558846,5.9195285,2.1936562,2.5994833,8.628076314926147,17.968392372131348
11,0.72239894,0.7918453,0.53898335,0.55815834,4.071859,5.072624,1.756708,2.1308937,8.770197629928589,19.728749990463257
12,0.6520529,0.7004696,0.47778025,0.48540774,3.077099,3.8214874,1.1768514,1.3640835,6.912040710449219,19.479018449783325
