month,rmse_log_model,rmse_log_pers,mae_log_model,mae_log_pers,rmse_mg_model,rmse_mg_pers,mae_mg_model,mae_mg_pers,skill_log_pct,skill_mg_pct
1,0.06976147,0.6525371,0.05628312,0.46189708,0.32147184,2.399856,0.12858368,1.02606,89.30919,86.60454
2,0.0653275,0.7216746,0.05252938,0.5204848,0.41224805,3.146747,0.14925164,1.3155047,90.94779,86.89923
3,0.0686026,0.9348432,0.05603952,0.6700605,0.6448139,6.028149,0.26698926,2.7340462,92.6616,89.30328
4,0.08063109,1.0761381,0.06760933,0.7813391,0.95433223,8.275325,0.43430203,4.0470853,92.50737,88.467735
5,0.08943102,1.0764201,0.07615545,0.7648,1.0664244,8.621326,0.49447596,4.043748,91.69181,87.630394
6,0.09446369,1.0258354,0.08109034,0.7199667,1.0860697,8.085457,0.498148,3.642096,90.791534,86.56762
7,0.09977417,0.9213748,0.08622501,0.6260612,0.911523,6.746399,0.3859526,2.7467942,89.171165,86.48875
8,0.10585037,0.8989185,0.091248065,0.60477155,0.78785115,6.4712243,0.3380774,2.5965083,88.2247,87.82532
9,0.10906543,0.88339037,0.093013115,0.6203683,0.7330864,6.439484,0.34346876,2.9908674,87.65377,88.61576
10,0.1086676,0.8386647,0.0924525,0.580144,0.68050057,5.9195285,0.3091882,2.5994833,87.042786,88.50414
11,0.09758061,0.7918453,0.08319615,0.55815834,0.58051777,5.072624,0.24546473,2.1308937,87.67681,88.55587
12,0.08273219,0.7004696,0.06894289,0.48540774,0.41408125,3.8214874,0.1622698,1.3640835,88.18904,89.16439
