epoch,phys,step,sup,train_loss,val_rmse
0,,36,,,0.7489393353462219
1,0.0,49,0.3223561644554138,0.3223561644554138,
1,,73,,,0.7994999885559082
2,0.0,99,0.35023966431617737,0.35023966431617737,
2,,110,,,0.7412232756614685
3,,147,,,0.7201933860778809
4,0.0,149,0.27024421095848083,0.27024421095848083,
4,,184,,,0.72471022605896
5,0.0,199,0.2537158727645874,0.2537158727645874,
5,,221,,,0.7028128504753113
6,0.0,249,0.2826351523399353,0.2826351523399353,
6,,258,,,0.7616011500358582
7,,295,,,0.7409542798995972
8,0.0,299,0.3177604675292969,0.3177604675292969,
8,,332,,,0.6878061890602112
9,0.0,349,0.3005751967430115,0.3005751967430115,
9,,369,,,0.6877791881561279
10,0.0,399,0.245838925242424,0.245838925242424,
10,,406,,,0.7058299779891968
11,,443,,,0.6788661479949951
12,0.0,449,0.21048575639724731,0.21048575639724731,
12,,480,,,0.6950455904006958
13,0.0,499,0.2680290639400482,0.2680290639400482,
13,,517,,,0.6873818635940552
14,0.0,549,0.2557401657104492,0.2557401657104492,
14,,554,,,0.7061242461204529
15,,591,,,0.6902370452880859
16,0.0,599,0.25029537081718445,0.25029537081718445,
16,,628,,,0.7025352120399475
17,0.0,649,0.24101108312606812,0.24101108312606812,
17,,665,,,0.6816452741622925
